symbol,conId,company name,exchange
AACG,48811132,Ata Creativity Global ADR,NASDAQ
AADR,77459165,Advisorshares Dorsey Wright ETF,NASDAQ
AAME,265585,Atlantic Amer Cp,NASDAQ
AAON,265595,Aaon Inc,NASDAQ
AAWW,39505341,Atlas Air Ww,NASDAQ
ABCB,3655373,Ameris Bancorp,NASDAQ
ABCM,451447704,Abcam Plc ADR,NASDAQ
ABGI,471602227,Abg Acquisition Corp I Cl A,NASDAQ
ABMD,265655,Abiomed Inc,NASDAQ
ABST,49919952,Absolute Software Cp,NASDAQ
ABUS,202009938,Arbutus Biopharma Cp,NASDAQ
ACAD,29308796,Acadia Pharmaceutica,NASDAQ
ACAHU,474641211,Atlantic Coastal Acquisition Corp,NASDAQ
ACB,420446448,Aurora Cannabis Inc,NASDAQ
ACBAU,479807353,Ace Global Business Acquisition Limited,NASDAQ
ACBI,211533625,Atlantic Capital,NASDAQ
ACER,290087375,Acer Therapeutics Inc,NASDAQ
ACEV,445550738,Ace Convergence Acquisition Corp Cl A,NASDAQ
ACGLN,495306457,Arch Capital Group Ltd,NASDAQ
ACGLP,249091376,Arch Capital Group Ltd,NASDAQ
ACHL,479807301,Achilles Therapeutics Plc,NASDAQ
ACIU,249028349,AC Immune S.A.,NASDAQ
ACKIU,461606704,Ackrell Spac Partners I Co. Units,NASDAQ
ACLS,239037320,Axcelis Tech Inc,NASDAQ
ACNB,30207417,Acnb Corp,NASDAQ
ACQR,484596191,Independence Holdings Corp Cl A,NASDAQ
ACRX,83738321,Acelrx Pharmaceutica,NASDAQ
ACTDU,477170795,Arclight Clean Transition Corp II,NASDAQ
ACTG,16699274,Acacia Res-Acacia,NASDAQ
ACWI,49954154,ACWI Ishares MSCI ETF,NASDAQ
ADAG,470279270,Adagene Inc ADR,NASDAQ
ADBE,265768,Adobe Systems Inc,NASDAQ
ADERU,465973946,26 Capital Acquisition Corp,NASDAQ
ADES,130653941,Advanced Emissions Solutions Inc,NASDAQ
ADIL,327721400,Adial Pharmaceuticals Inc,NASDAQ
ADMA,136375641,Adma Biologics,NASDAQ
ADMS,148230374,Adamas Pharma,NASDAQ
ADOCR,459553820,Edoc Acquisition Corp Right,NASDAQ
ADP,4661,Automatic Data Procs,NASDAQ
ADRE,320227580,Bldrs Emerging Markets 50 ADR ETF,NASDAQ
ADTN,265818,Adtran Inc,NASDAQ
ADUS,69790398,Addus Homecare Corp,NASDAQ
ADVM,233146271,Adverum Biotechnlgs,NASDAQ
ADXN,401656740,Addex Therapeutics Ltd ADR,NASDAQ
AEAC,475412684,Authentic Equity Acquisition Corp Cl A,NASDAQ
AEHR,4725941,Aehr Test Systems,NASDAQ
AEIS,4725946,Advanced Energy,NASDAQ
AEP,4211,American Electric Power Company,NASDAQ
AEPPZ,439677451,American Electric Power Company,NASDAQ
AESE,378605914,Allied Esports Entertainment Inc,NASDAQ
AEYE,328849154,Audioeye Inc,NASDAQ
AFAQ,491663833,Af Acquisition Corp,NASDAQ
