symbol,company_name,exchange_x,high,low,close,volume,change,total_traded,conId,secType,exchange,primaryExchange,currency,marketName,minTick,orderTypes,validExchanges,priceMagnifier,longName,industry,category,subcategory,tradingHours,timeZoneId,liquidHours,stockType,bondType,couponType,callable,putable,coupon,convertable,maturity,issueDate,nextOptionDate,nextOptionPartial,nextOptionType,marketRuleIds
A1G,African Gold Limited,ASX,0.26,0.23,0.23,98042.0,-0.025,22549.66,353403819,STK,SMART,ASX,AUD,A1G,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,AFRICAN GOLD LTD,"Consumer, Non-cyclical",Food,Food-Meat Products,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
A200,A200,ASX,126.3,125.6,125.6,28713.0,-0.6,3606352.8,317029374,STK,SMART,ASX,AUD,A200,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,BETASHARES AUSTRALIA 200 ETF,,,,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,ETF,,,False,False,0.0,False,,,,False,,"614,614,614"
A2M,The A2 Milk Company Limited,ASX,5.77,5.6,5.72,2606044.0,0.05,14906571.68,189114468,STK,SMART,ASX,AUD,A2M,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,A2 MILK CO LTD,"Consumer, Non-cyclical",Food,Food-Dairy Products,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
A2MKOD,The A2 Milk Company Limited,ASX,1.45,1.34,1.34,22150.0,-0.01,29681.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MKOF,The A2 Milk Company Limited,ASX,3.54,3.54,3.54,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MKOQ,The A2 Milk Company Limited,ASX,5.44,5.44,5.44,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MKOV,A2MKOV,ASX,5.05,5.05,5.05,0.0,0.0,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4N,Alpha Hpa Limited,ASX,0.505,0.495,0.505,446519.0,0.015,225492.095,344231279,STK,SMART,ASX,AUD,A4N,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,ALPHA HPA LTD,Basic Materials,Mining,Metal-Diversified,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
AAA,Betashares Australian High Interest Cash,ASX,50.08,50.07,50.07,635681.0,0.0,31828547.67,103792503,STK,SMART,ASX,AUD,AAA,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,BETASHARES AUS HIGH INTEREST,,,,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,ETF,,,False,False,0.0,False,,,,False,,"614,614,614"
AAJ,Aruma Resources Limited,ASX,0.11,0.091,0.099,2850549.0,0.009,282204.351,77496741,STK,SMART,ASX,AUD,AAJ,0.001,"ACTIVETIM,AD,ADJUST,ALERT,ALGO,ALGOLTH,ALLOC,AVGCOST,BASKET,BENCHPX,CASHQTY,COND,CONDORDER,DAY,DEACT,DEACTDIS,DEACTEOD,GAT,GTC,GTD,GTT,HID,LIT,LMT,MIT,MKT,MTL,NGCOMB,NONALGO,OCA,PEGBENCH,REL,RELPCTOFS,SCALE,SCALERST,SNAPMID,SNAPMKT,SNAPREL,STP,STPLMT,TRAIL,TRAILLIT,TRAILLMT,TRAILMIT,WHATIF","SMART,ASX,ASXCEN",1.0,ARUMA RESOURCES LTD,Basic Materials,Mining,Gold Mining,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,Australia/NSW,20210926:CLOSED;20210927:0959-20210927:1612;20210928:0959-20210928:1612;20210929:0959-20210929:1612;20210930:0959-20210930:1612;20211001:0959-20211001:1612,COMMON,,,False,False,0.0,False,,,,False,,"614,614,614"
